dataset,v.model,alpha,beta,AR,MA,distribution,mIC,log_likelihood,elapsed
da_ret,eGARCH,2,1,1,1,sstd,-1.173342639,10753.7314,21.641
da_ret,eGARCH,2,1,1,0,sstd,-1.17253628,10744.06106,19.005
da_ret,eGARCH,2,1,1,1,std,-1.171537452,10734.92827,12.782
da_ret,eGARCH,2,1,1,0,std,-1.170529984,10723.41905,11.565
da_ret,eGARCH,2,2,1,1,sstd,-1.170265335,10727.89146,22.187
da_ret,eGARCH,1,2,1,1,sstd,-1.169886349,10719.83141,16.946
da_ret,eGARCH,2,2,1,0,sstd,-1.169451156,10718.14963,18.619
da_ret,eGARCH,1,2,1,0,sstd,-1.169389812,10712.99389,14.303
da_ret,eGARCH,2,2,1,1,std,-1.168796736,10712.16594,13.382
da_ret,eGARCH,1,2,1,1,std,-1.168625147,10706.00217,9.893
da_ret,eGARCH,1,2,1,0,std,-1.167849931,10696.61652,8.946
da_ret,eGARCH,2,2,1,0,std,-1.16767856,10699.64449,11.757
da_ret,eGARCH,1,1,1,1,sstd,-1.155903564,10589.68238,13.988
da_ret,gjrGARCH,2,2,1,1,sstd,-1.155528836,10593.14828,28.991
da_ret,gjrGARCH,2,1,1,0,sstd,-1.154922956,10583.01363,24.108
da_ret,eGARCH,1,1,1,0,sstd,-1.154853739,10577.78584,11.869
da_ret,gjrGARCH,2,2,1,0,sstd,-1.154671691,10583.01359,25.609
da_ret,eGARCH,1,1,1,1,std,-1.154347161,10573.15394,7.951
da_ret,gjrGARCH,2,1,1,1,std,-1.153437473,10569.43112,15.747
da_ret,gjrGARCH,2,2,1,1,std,-1.153187563,10569.44347,17.921
da_ret,eGARCH,1,1,1,0,std,-1.152902359,10557.64591,6.334
da_ret,gjrGARCH,2,1,1,0,std,-1.151978646,10553.79489,15.749
da_ret,gjrGARCH,2,2,1,0,std,-1.151727886,10553.7995,16.162
da_ret,gjrGARCH,1,1,1,1,sstd,-1.150430285,10539.63745,18.936
da_ret,gjrGARCH,1,2,1,1,sstd,-1.150181268,10539.658,19.703
da_ret,gjrGARCH,1,1,1,1,std,-1.148689987,10521.42757,12.758
da_ret,gjrGARCH,1,2,1,1,std,-1.148439995,10521.43924,11.612
da_ret,gjrGARCH,1,1,1,0,sstd,-1.148221933,10517.14793,15.787
da_ret,gjrGARCH,1,2,1,0,sstd,-1.147975988,10517.19658,16.508
da_ret,gjrGARCH,2,1,1,1,sstd,-1.146061988,10504.29077,37.034
da_ret,gjrGARCH,1,2,1,0,std,-1.1456292,10493.44127,11.428
da_ret,csGARCH,2,1,1,1,sstd,-1.127590767,10335.39916,21.572
da_ret,csGARCH,2,1,1,0,sstd,-1.127469231,10331.99049,18.449
da_ret,csGARCH,2,2,1,1,sstd,-1.12734202,10335.42213,23.103
da_ret,csGARCH,2,2,1,0,sstd,-1.127202484,10331.8489,22.038
da_ret,sGARCH,2,2,1,1,sstd,-1.126833888,10326.18123,18.441
da_ret,sGARCH,2,2,1,0,sstd,-1.126647018,10322.17515,15.342
da_ret,csGARCH,1,1,1,1,sstd,-1.126067491,10319.17368,17.575
da_ret,csGARCH,1,2,1,1,sstd,-1.125701126,10318.12123,19.514
da_ret,sGARCH,1,2,1,1,sstd,-1.125522333,10311.89159,16.415
da_ret,csGARCH,1,1,1,0,sstd,-1.125496107,10311.6518,16.252
da_ret,csGARCH,1,2,1,0,sstd,-1.125118106,10310.49298,17.224
da_ret,sGARCH,1,2,1,0,sstd,-1.125013341,10304.94017,11.903
da_ret,csGARCH,2,1,1,1,std,-1.124329034,10303.2781,12.086
da_ret,csGARCH,2,2,1,1,std,-1.124096871,10303.45272,15.575
da_ret,csGARCH,2,1,1,0,std,-1.123571808,10294.05697,11.187
da_ret,sGARCH,2,2,1,1,std,-1.123504854,10293.44478,10.255
da_ret,csGARCH,2,2,1,0,std,-1.123346174,10294.29132,14.004
da_ret,csGARCH,1,1,1,1,std,-1.122897424,10287.89074,10.682
da_ret,sGARCH,2,2,1,0,std,-1.122666432,10283.4812,9.482
da_ret,csGARCH,1,2,1,1,std,-1.122532017,10286.84708,11.647
da_ret,sGARCH,1,2,1,1,std,-1.122369433,10280.76559,9.388
da_ret,csGARCH,1,1,1,0,std,-1.121617979,10273.89467,9.775
da_ret,csGARCH,1,2,1,0,std,-1.121234424,10272.6851,10.578
da_ret,sGARCH,1,2,1,0,std,-1.121179683,10267.58962,7.403
da_ret,gjrGARCH,1,1,1,0,std,-1.11850337,10243.11875,9.732
da_ret,eGARCH,2,2,0,1,sstd,-1.069538907,9804.601981,18.26
da_ret,eGARCH,2,2,0,1,std,-1.063807037,9749.895221,11.619
da_ret,eGARCH,2,1,0,1,sstd,-1.061015695,9724.372585,19.089
da_ret,eGARCH,2,1,0,1,std,-1.055191079,9668.817777,12.01
da_ret,eGARCH,1,2,0,1,sstd,-1.051412366,9634.267115,14.318
da_ret,gjrGARCH,2,2,0,1,sstd,-1.051311439,9637.939128,24.84
da_ret,eGARCH,1,2,0,1,std,-1.047662346,9597.681337,8.582
da_ret,eGARCH,1,1,0,1,sstd,-1.045195615,9575.126782,11.293
da_ret,gjrGARCH,2,2,0,1,std,-1.044341239,9571.909699,14.939
da_ret,eGARCH,1,1,0,1,std,-1.040242042,9527.536298,7.023
da_ret,gjrGARCH,1,2,0,1,sstd,-1.034861351,9482.932907,18.265
da_ret,csGARCH,2,1,0,1,sstd,-1.03468391,9483.60791,16.759
da_ret,csGARCH,2,2,0,1,sstd,-1.034432649,9483.60791,17.89
da_ret,sGARCH,2,2,0,1,sstd,-1.032836991,9464.423166,16.135
da_ret,csGARCH,1,1,0,1,sstd,-1.031740495,9454.397362,12.827
da_ret,csGARCH,1,2,0,1,sstd,-1.031445776,9454.000032,15.128
da_ret,sGARCH,1,2,0,1,sstd,-1.029890676,9435.186075,13.106
da_ret,gjrGARCH,1,2,0,1,std,-1.029060708,9427.597266,12.049
da_ret,csGARCH,2,1,0,1,std,-1.024455192,9387.784186,9.612
da_ret,csGARCH,2,2,0,1,std,-1.024203922,9387.784138,10.348
da_ret,sGARCH,2,2,0,1,std,-1.022826197,9370.592014,9.414
da_ret,eGARCH,2,2,1,1,snorm,-1.022279998,9372.49015,10.75
da_ret,csGARCH,1,1,0,1,std,-1.021647204,9359.811892,7.665
da_ret,csGARCH,1,2,0,1,std,-1.021355369,9359.440957,9.199
da_ret,sGARCH,1,2,0,1,std,-1.019956826,9342.058433,8.133
da_ret,eGARCH,2,2,1,1,norm,-1.017008751,9321.995094,8.07
da_ret,sGARCH,1,1,1,1,sstd,-1.016898079,9316.388263,10.56
da_ret,sGARCH,1,1,1,1,std,-1.016872311,9313.855167,6.372
da_ret,sGARCH,2,1,1,1,sstd,-1.016625402,9316.192506,12.277
da_ret,sGARCH,2,1,1,1,std,-1.016598944,9313.653127,7.11
