dataset,v.model,alpha,beta,AR,MA,distribution,mIC,log_likelihood,elapsed
rt_ret,sGARCH,1,1,0,0,norm,0.7969086123310969,-7277.343338263159,2.0090000000018335
rt_ret,sGARCH,1,1,0,1,norm,0.7971598610886983,-7277.343059941472,3.7080000000023574
rt_ret,sGARCH,1,1,1,0,norm,0.7971598686519105,-7277.343129095702,3.6080000000001746
rt_ret,sGARCH,1,1,1,1,norm,0.7749386187442117,-7071.8655865397905,4.915999999997439
rt_ret,sGARCH,1,2,0,0,norm,0.7971821976008421,-7277.547293840258,3.11699999999837
rt_ret,sGARCH,1,2,0,1,norm,0.7974334408614137,-7277.5469925684265,4.605999999999767
rt_ret,sGARCH,1,2,1,0,norm,0.7974334490410891,-7277.54706735929,4.683999999997468
rt_ret,sGARCH,1,2,1,1,norm,0.7752134554982169,-7072.081039681149,5.606999999999971
rt_ret,sGARCH,2,1,0,0,norm,0.7967137400023383,-7273.263951788339,3.0159999999996217
rt_ret,sGARCH,2,1,0,1,norm,0.7969644903977386,-7273.259144003814,4.552999999999884
rt_ret,sGARCH,2,1,1,0,norm,0.7969646163214064,-7273.26029538687,4.201000000000931
rt_ret,sGARCH,2,1,1,1,norm,0.77516465432277,-7071.634826133451,5.879999999997381
rt_ret,sGARCH,2,2,0,0,norm,0.7969318846775357,-7272.961013601139,4.167000000001281
rt_ret,sGARCH,2,2,0,1,norm,0.7971825574429101,-7272.955523312452,5.961999999999534
rt_ret,sGARCH,2,2,1,0,norm,0.7971827011742508,-7272.956837519965,5.830999999998312
rt_ret,sGARCH,2,2,1,1,norm,0.7752871277678741,-7070.457172659882,7.42699999999968
rt_ret,sGARCH,1,1,0,0,std,0.6430994768064839,-5868.691936257045,4.540000000000873
rt_ret,sGARCH,1,1,0,1,std,0.64315907711919,-5866.939347691405,5.988000000001193
rt_ret,sGARCH,1,1,1,0,std,0.6431910530026768,-5867.231719182066,5.914999999997235
rt_ret,sGARCH,1,1,1,1,std,0.6400968395147313,-5836.642261436149,7.556000000000495
rt_ret,sGARCH,1,2,0,0,std,0.643374135948887,-5868.90573810074,4.561000000001513
rt_ret,sGARCH,1,2,0,1,std,0.6434338882825392,-5867.154566844601,7.0020000000004075
rt_ret,sGARCH,1,2,1,0,std,0.6434658353151899,-5867.446674537642,6.820999999999913
rt_ret,sGARCH,1,2,1,1,std,0.6403720027141593,-5836.860726731242,8.572000000000116
