dataset,v.model,alpha,beta,AR,MA,distribution,mIC,log_likelihood,elapsed
rt_ret,sGARCH,1,1,0,0,std,0.643099477,-5868.691936,4.316
rt_ret,sGARCH,1,1,0,1,std,0.643159077,-5866.939348,6.318
rt_ret,sGARCH,1,1,1,0,std,0.643191053,-5867.231719,6.015
rt_ret,sGARCH,1,1,1,1,std,0.64009684,-5836.642261,7.759
rt_ret,sGARCH,1,2,0,0,std,0.643374136,-5868.905738,4.454
rt_ret,sGARCH,1,2,0,1,std,0.643433888,-5867.154567,6.672
rt_ret,sGARCH,1,2,1,0,std,0.643465835,-5867.446675,6.635
rt_ret,sGARCH,1,2,1,1,std,0.640372003,-5836.860727,8.326
rt_ret,sGARCH,2,1,0,0,std,0.642287561,-5858.97064,5.33
rt_ret,sGARCH,2,1,0,1,std,0.642375295,-5857.475323,7.346
rt_ret,sGARCH,2,1,1,0,std,0.642400708,-5857.707687,7.253
rt_ret,sGARCH,2,1,1,1,std,0.639486886,-5828.767665,9.118
rt_ret,sGARCH,2,2,0,0,std,0.642498111,-5858.598284,6.454
rt_ret,sGARCH,2,2,0,1,std,0.642585912,-5857.103603,8.523
rt_ret,sGARCH,2,2,1,0,std,0.642611276,-5857.335521,8.517
rt_ret,sGARCH,2,2,1,1,std,0.639654159,-5827.999658,10.182
rt_ret,sGARCH,1,1,0,0,sstd,0.643200459,-5867.317722,7.314
rt_ret,sGARCH,1,1,0,1,sstd,0.643291647,-5865.853988,9.854
rt_ret,sGARCH,1,1,1,0,sstd,0.643318904,-5866.103208,9.711
rt_ret,sGARCH,1,1,1,1,sstd,0.626395071,-5709.062648,11.873
rt_ret,sGARCH,1,2,0,0,sstd,0.643475115,-5867.531522,8.045
rt_ret,sGARCH,1,2,0,1,sstd,0.643566444,-5866.069099,11.125
rt_ret,sGARCH,1,2,1,0,sstd,0.643593673,-5866.318071,10.995
rt_ret,sGARCH,1,2,1,1,sstd,0.62667059,-5709.2844,14.094
rt_ret,sGARCH,2,1,0,0,sstd,0.642352785,-5857.269496,8.959
rt_ret,sGARCH,2,1,0,1,sstd,0.642473024,-5856.071416,12.267
rt_ret,sGARCH,2,1,1,0,sstd,0.642493824,-5856.261603,12.096
rt_ret,sGARCH,2,1,1,1,sstd,0.626062192,-5703.721507,14.41
rt_ret,sGARCH,2,2,0,0,sstd,0.642561659,-5856.881853,11.12
rt_ret,sGARCH,2,2,0,1,sstd,0.642681911,-5855.683915,14.108
rt_ret,sGARCH,2,2,1,0,sstd,0.642702675,-5855.873763,14.451
rt_ret,sGARCH,2,2,1,1,sstd,0.626157261,-5702.293335,17.465
rt_ret,gjrGARCH,1,1,0,0,std,0.639098212,-5829.808826,5.684
rt_ret,gjrGARCH,1,1,0,1,std,0.63902391,-5826.831931,8.171
rt_ret,gjrGARCH,1,1,1,0,std,0.639072474,-5827.27598,8.662
rt_ret,gjrGARCH,1,1,1,1,std,0.636105785,-5797.852567,9.421
rt_ret,gjrGARCH,1,2,0,0,std,0.639374156,-5830.034403,6.855
rt_ret,gjrGARCH,1,2,0,1,std,0.639300077,-5827.059574,9.128
rt_ret,gjrGARCH,1,2,1,0,std,0.639348604,-5827.503284,8.95
rt_ret,gjrGARCH,1,2,1,1,std,0.636382232,-5798.082796,11.06
rt_ret,gjrGARCH,2,1,0,0,std,0.6385681,-5820.36674,9.988
rt_ret,gjrGARCH,2,1,0,1,std,0.638472492,-5817.195089,13.129
rt_ret,gjrGARCH,2,1,1,0,std,0.638521434,-5817.642587,13.712
rt_ret,gjrGARCH,2,1,1,1,std,0.635620262,-5788.818289,15.53
rt_ret,gjrGARCH,2,2,0,0,std,0.638743699,-5819.674873,12.3
rt_ret,gjrGARCH,2,2,0,1,std,0.639774003,-5826.798015,17.737
rt_ret,gjrGARCH,2,2,1,0,std,0.638700956,-5816.986611,15.247
